  0  0011:0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
0  1 1010:0.0, 0.0, -1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0
011 00   :0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
 0 1101  :-1.0, 0.0, -1.0, 0.0, 0.0, 0.0, 0.0, -1.0, -1.0
001    1 :0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
 01000 11:1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
1 1 0    :0.0, 1.0, 0.0, -1.0, 0.0, -1.0, 0.0, -1.0, 0.0
0 0110011:0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
1100 11 0:0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
0  1 101 :0.0, -1.0, -1.0, 0.0, 1.0, 0.0, 0.0, 0.0, -1.0
001    11:0.0, 0.0, 0.0, -1.0, -1.0, 0.0, -1.0, 0.0, 0.0
001    10:0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
0  1 1001:0.0, -1.0, -1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
0101  001:0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
011 00  1:0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
0101  01 :0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0
01 0 1  0:0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
01 0 1  1:0.0, 0.0, 1.0, 0.0, -1.0, 0.0, 1.0, -1.0, 0.0
0  1 100 :0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
1 1 0   0:0.0, 0.0, 0.0, -1.0, 0.0, -1.0, -1.0, -1.0, 0.0
  1   00 :0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
0101  010:0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
01 0 1   :0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0
 10 01001:1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
0101  011:0.0, 0.0, 0.0, 0.0, 1.0, -1.0, 0.0, 0.0, 0.0
01101   0:0.0, 0.0, 0.0, 0.0, 0.0, -1.0, 1.0, 0.0, 0.0
 0100011 :1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
0     011:0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
 1  10  0:0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
 10 0101 :1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
010010  1:0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
0     01 :0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
100 010 1:1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
  11 1000:1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
011 001 0:1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
01 0 11 0:0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0
011 001 1:0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0
  101   0:-1.0, -1.0, 0.0, 0.0, 0.0, -1.0, 0.0, -1.0, 0.0
000 111 0:1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
1100 1   :0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0
  11 100 :-1.0, -1.0, 0.0, 0.0, -1.0, 0.0, 0.0, 0.0, 1.0
011 001  :0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0
01 0 11  :0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0
01101    :0.0, 0.0, 0.0, 0.0, 0.0, -1.0, 1.0, -1.0, -1.0
00 0  1 1:0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
000 111  :1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
